scan_coordinate_px,carrier_amplitude,unwrapped_phase_rad,fitted_phase_rad,fit_used
0,920.62539871646061,-2.2153304959557318,-5.1842285581553522,0
1,926.72233772050959,-2.2261925796544415,-5.1953238467821148,0
2,914.44654992741334,-2.2159141581806692,-5.2064191354088765,0
3,925.32612489406745,-2.2175975265926433,-5.217514424035639,0
4,909.36324856389285,-2.2118920381754497,-5.2286097126624016,0
5,908.91244525677871,-2.2098460329007881,-5.2397050012891642,0
6,912.06586605486666,-2.2109011583932503,-5.2508002899159258,0
7,892.09337446431039,-2.2066832529978027,-5.2618955785426884,0
8,893.26373364518224,-2.2122098450106025,-5.272990867169451,0
9,887.78045708022057,-2.2012415014884694,-5.2840861557962135,0
10,855.50550451560832,-2.2047179072211534,-5.2951814444229752,0
11,843.20770166630984,-2.1967926233679469,-5.3062767330497378,0
12,810.49973742786608,-2.1839858133105348,-5.3173720216765004,0
13,791.39562638735401,-2.1805510473047982,-5.328467310303262,0
14,746.53790893536166,-2.1736937225923008,-5.3395625989300246,0
15,705.72953661115014,-2.167894993447391,-5.3506578875567872,0
16,648.81844934024343,-2.1603747689186492,-5.3617531761835497,0
17,569.51712125433255,-2.1836845287397937,-5.3728484648103114,0
18,494.37923024925959,-2.1830150668572075,-5.383943753437074,0
19,386.93499953851887,-2.1712760907239215,-5.3950390420638366,0
20,284.76243703273008,-2.194718861789184,-5.4061343306905982,0
21,175.59531726983133,-2.1951731635590055,-5.4172296193173608,0
22,75.757846003936024,-2.1898735398584606,-5.4283249079441234,0
23,15.426467693083554,-4.8508763991452328,-5.4394201965708859,0
24,77.364137832423054,-5.2896698034707184,-5.4505154851976476,0
25,112.60565581452578,-5.2878833848890814,-5.4616107738244102,0
26,140.88501741584463,-5.3077588902637363,-5.4727060624511727,0
27,149.34170975632929,-5.3483918055007456,-5.4838013510779353,0
28,157.5312528686965,-5.36043564091504,-5.494896639704697,0
29,153.8865573062638,-5.2828680967491222,-5.5059919283314596,0
30,155.05416455421184,-5.3268993749416405,-5.5170872169582221,0
31,152.31539710650239,-5.3074468647725066,-5.5281825055849838,0
32,153.54302508367326,-5.3628588564949391,-5.5392777942117464,0
33,147.01554436746005,-5.300783332850747,-5.5503730828385089,0
34,155.52997950120962,-5.3344870586210629,-5.5614683714652715,0
35,136.11850075091115,-5.3056941965246631,-5.5725636600920332,0
36,148.67789322959095,-5.3837888423961662,-5.5836589487187958,0
37,155.74604374394437,-5.3652740310000722,-5.5947542373455583,0
38,148.39234499256244,-5.3548729571063483,-5.6058495259723209,0
39,150.28968236920466,-5.3497540472242138,-5.6169448145990826,0
40,149.78455992213139,-5.3564180761977349,-5.6280401032258451,0
41,152.23403380699565,-5.3153291766577508,-5.6391353918526077,0
42,147.24488529253955,-5.2762223214667703,-5.6502306804793694,0
43,152.46979698550817,-5.3539636228154794,-5.661325969106132,0
44,153.052016291033,-5.3022929321320724,-5.6724212577328945,0
45,150.5984082944351,-5.3130307948510369,-5.6835165463596571,0
46,151.70721876188,-5.385979268542771,-5.6946118349864188,0
47,152.36628988599702,-5.3464845851856087,-5.7057071236131813,0
48,149.14386766813197,-5.3346235167349452,-5.7168024122399439,0
49,153.48196920064802,-5.3083391794276968,-5.7278977008667056,0
50,152.59377732644322,-5.3072385617188704,-5.7389929894934681,0
51,156.17698945755748,-5.285565437336035,-5.7500882781202307,0
52,144.88763077683714,-5.3347966138192389,-5.7611835667469933,0
53,144.34890239278207,-5.3352779202203253,-5.772278855373755,0
54,152.39105088405879,-5.318918282388057,-5.7833741440005175,0
55,145.65168962770213,-5.3334810225740625,-5.7944694326272801,0
56,153.98998494651309,-5.2890397468309756,-5.8055647212540427,0
57,145.84161191967183,-5.326118175591624,-5.8166600098808043,0
58,150.25462046639726,-5.341678183516799,-5.8277552985075669,0
59,141.63236515486668,-5.3627934201286038,-5.8388505871343295,0
60,147.234426232793,-5.2511764309939801,-5.849945875761092,0
61,147.43496232801897,-5.312435464909333,-5.8610411643878537,0
62,144.38449174695896,-5.3489060955150229,-5.8721364530146163,0
63,148.33221836288348,-5.3305069917701582,-5.8832317416413789,0
64,154.64664639098118,-5.2971885173324775,-5.8943270302681405,0
65,157.59944137247911,-5.3134205513779662,-5.9054223188949031,0
66,150.92144051289708,-5.3128657843467995,-5.9165176075216657,0
67,157.80104420176488,-5.3664869376996025,-5.9276128961484282,0
68,152.39356037327519,-5.360224365013976,-5.9387081847751899,0
69,149.58636248941559,-5.3048522849220356,-5.9498034734019525,0
70,153.94599691363644,-5.2850535241017242,-5.960898762028715,0
71,148.20415711651023,-5.3650352402322117,-5.9719940506554767,0
72,150.08228693586733,-5.3253267010390104,-5.9830893392822393,0
73,155.24609145792363,-5.3335851016064684,-5.9941846279090019,0
74,145.51815502321793,-5.3047963619710856,-6.0052799165357644,0
75,151.3845929700629,-5.3256282680754516,-6.0163752051625261,0
76,150.08742242542527,-5.3018526211258594,-6.0274704937892887,0
77,149.93475946052013,-5.3273467406895341,-6.0385657824160512,0
78,153.69914808462639,-5.3146473390716,-6.0496610710428129,0
79,152.93813948319428,-5.3170428272317016,-6.0607563596695755,0
80,151.88170701605233,-5.3357308862716541,-6.0718516482963381,1
81,149.55384249540546,-5.3001433159938038,-6.0829469369231006,1
82,148.19271386814549,-5.2959385771263205,-6.0940422255498623,1
83,156.84814685276297,-5.3350430685133112,-6.1051375141766249,1
84,159.42039360168178,-5.3194414633332157,-6.1162328028033874,1
85,146.6778171535064,-5.3252322072670673,-6.12732809143015,1
86,158.9634157078811,-5.3838600264106766,-6.1384233800569117,1
87,155.48593753690619,-5.3155931837463051,-6.1495186686836742,1
88,159.81725365303208,-5.3109001184385658,-6.1606139573104368,1
89,161.34117195315602,-5.3385850014119969,-6.1717092459371994,1
90,153.64684784694595,-5.2867151441298219,-6.1828045345639611,1
91,156.98469954271053,-5.3054404338542911,-6.1938998231907236,1
92,159.07887577608838,-5.2508991371381688,-6.2049951118174862,1
93,153.56979173518175,-5.2666756811852427,-6.2160904004442479,1
94,156.05801152247287,-5.3263841610130749,-6.2271856890710104,1
95,157.87353462879798,-5.287156781036864,-6.238280977697773,1
96,182.83396831289696,-5.3204045451564728,-6.2493762663245356,1
97,217.19827468462424,-5.3142990317530021,-6.2604715549512973,1
98,247.8065508844906,-5.2850771566661709,-6.2715668435780598,1
99,305.00899502007599,-5.3083603959372123,-6.2826621322048224,1
100,387.58682108126857,-5.2742681462314271,-6.2937574208315841,1
101,467.95578177565261,-5.2982758504710645,-6.3048527094583466,1
102,561.76854092795975,-5.3260851134051217,-6.3159479980851092,1
103,661.48409567957367,-5.3211306605216446,-6.3270432867118718,1
104,768.58532637447627,-5.3036312928907412,-6.3381385753386335,1
105,868.15169111609396,-5.3179767312516528,-6.349233863965396,1
106,956.5813587065586,-5.3199022783453387,-6.3603291525921586,1
