scan_coordinate_px,carrier_amplitude,unwrapped_phase_rad,fitted_phase_rad,fit_used
0,619.29873260224713,2.2032763485768907,-4.877979825378242,0
1,614.58245252838833,2.2113052388872982,-4.9054314487614441,0
2,608.71816441756766,2.2236281262766902,-4.9328830721446462,0
3,516.21079122173069,2.2167413094937292,-4.9603346955278482,0
4,274.10527705994548,2.1778264109599985,-4.9877863189110512,0
5,26.838411000659008,2.1382078535483751,-5.0152379422942532,0
6,90.124699935313842,-0.89321644981116488,-5.0426895656774553,0
7,106.76176157403411,-0.9507193096405977,-5.0701411890606574,0
8,105.97083288424403,-0.9221467708754153,-5.0975928124438594,0
9,108.106698806552,-0.89658633956267386,-5.1250444358270615,0
10,142.10666803616121,-0.88308773217667513,-5.1524960592102635,0
11,257.63528307961053,-0.83300165447796726,-5.1799476825934665,0
12,494.65651571298827,-0.83666404766944613,-5.2073993059766686,0
13,701.41133765808388,-0.84083391202438018,-5.2348509293598706,0
14,765.4780280115948,-0.83384414536523266,-5.2623025527430727,0
15,749.31324078341106,-0.81121126900956653,-5.2897541761262747,0
16,753.98738829037541,-0.80040864845492021,-5.3172057995094768,0
17,761.4569264016518,-0.81587828110351657,-5.3446574228926789,0
18,682.7172036062417,-0.79984207576819866,-5.3721090462758818,0
19,494.9362149187171,-0.80907390442640514,-5.3995606696590839,0
20,258.05373417441763,-0.80637448075157281,-5.4270122930422859,0
21,136.32840400740812,-0.74119285419768333,-5.454463916425488,0
22,108.32262324877496,-0.73356666283313188,-5.4819155398086901,0
23,107.01790848801686,-0.82073306531610724,-5.5093671631918921,0
24,109.61507896129224,-0.7893722044210052,-5.5368187865750951,0
25,93.625190864325489,-0.80381850516862685,-5.5642704099582971,0
26,20.112744906467263,1.8091121402932218,-5.5917220333414992,0
27,256.9301087530643,2.3485051525084448,-5.6191736567247013,0
28,487.825276700605,2.3042824015586292,-5.6466252801079033,0
29,610.76330920406303,2.3064385739153503,-5.6740769034911054,0
30,619.22137317116085,2.2994347370291237,-5.7015285268743074,0
31,623.1688864250782,2.2886426937429758,-5.7289801502575095,0
32,621.28949913081055,2.3055526399858448,-5.7564317736407125,0
33,554.85623166528842,2.3113661071828551,-5.7838833970239145,0
34,335.10247835829068,2.3029511165578911,-5.8113350204071166,0
35,57.479931292876294,2.2417250420051742,-5.8387866437903186,0
36,74.483199664912959,-0.85380750981676101,-5.8662382671735207,0
37,99.544992641445702,-0.84063782110152818,-5.8936898905567228,0
38,107.03446066663055,-0.77354560918332482,-5.9211415139399257,0
39,105.9269070513289,-0.82437636673131232,-5.9485931373231278,0
40,123.54705734426011,-0.77961253806992237,-5.9760447607063298,0
41,201.98014712949742,-0.76528390371711585,-6.0034963840895319,0
42,406.04541525221055,-0.79668731034506513,-6.030948007472734,0
43,652.10046753303254,-0.79220156963219435,-6.058399630855936,0
44,759.75095894446542,-0.77375608539707308,-6.0858512542391381,0
45,767.38390134383019,-0.80123530651800456,-6.1133028776223401,0
46,755.95991063368467,-0.77857211527683723,-6.1407545010055431,0
47,762.32657460170071,-0.77267481195479493,-6.1682061243887452,0
48,717.15650744793743,-0.77278888875406104,-6.1956577477719472,0
49,558.08402931180353,-0.77223277862131978,-6.2231093711551493,0
